"handle","name","content","replies","retweets","favorite","unix_timestamp","date","url","search_url","hashtags"
"@AlainMansilla","eudes-alain Mansilla","Trending #bitcoin news with frequent shares and strong engagement across social media: ""Un défilé de mode dans le métaverse : Le Metaverse Fashion Week"" via @Cointribune Social Insights: https://t.co/zy6Se3Z8SX $btc Source👇https://t.co/dBRSFHLSta","0","0","0","1649665600000","11 Apr 2022","AlainMansilla/status/1513433339318910978","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","bitcoin"
"@VouxSite","VOUX","I went to metaverse fashion week and it was like a dystopian nightmare – I fell off a yacht and had to leave https://t.co/DEChonKxTE","0","0","0","1648392127000","27 Mar 2022","VouxSite/status/1508092004969992199","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@sinasnappies","SinaSnappies","NFT adoption: Tokens take the runway at Metaverse Fashion Week https://t.co/gRXBNBl2Ut","0","0","1","1648560033000","29 Mar 2022","sinasnappies/status/1508796253995343877","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@khaiguancoin","Khaiguan","#DAZZLE #MVFW https://t.co/92Kh2wBkCg","0","0","0","1649264073000","06 Apr 2022","khaiguancoin/status/1511749209003036672","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","DAZZLE | MVFW"
"@massiveradius","massive","The first-ever Metaverse Fashion Week: Digital fashion is here to stay https://t.co/t1cVrxTQvm","0","0","0","1649560360000","10 Apr 2022","massiveradius/status/1512991930790993923","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@ducdemontebello","ducdemontebello","At Metaverse Fashion Week, the runway shows were far less interesting and well-executed than real shows. The pop-up shops that mimicked brick-and-mortar stores were dull.""","1","0","0","1649512041000","09 Apr 2022","ducdemontebello/status/1512789266052489216","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@gtlcfc","nutzazins.crypto","#DAZZLE #MVFW https://t.co/ogka311u1T","0","0","0","1649285386000","06 Apr 2022","gtlcfc/status/1511838605790302210","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","DAZZLE | MVFW"
"@gdibarry","barry allen","@null I went to fashion week in the metaverse The day before covering a fashion week i https://t.co/a8Mh2fXM1J","0","0","0","1648660818000","30 Mar 2022","gdibarry/status/1509218977087586306","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
"@Kubrick_88","Christian JosepH","https://t.co/9XavoLDPcw #MVFW #dzzit #MVFW #dzzit https://t.co/Bb5KBDCxWq","0","0","1","1649258147000","06 Apr 2022","Kubrick_88/status/1511724355310350337","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit | MVFW | dzzit"
"@mixzzzzz","Shadowmixz ""(💙,🧡)""🐍(L3, ❄️)","#MVFW #dzzit","0","0","0","1649248408000","06 Apr 2022","mixzzzzz/status/1511683508410150915","https://twitter.com/search?q=mvfw%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query&f=top","MVFW | dzzit"
"@gossapegirl","GossApe Girl","BIG THANKS to the community, our Metaverse Fashion Week debut wouldn't be half as much fun without each of you! We really appreciate the continuous support. This one is for our community, much love to all of you 💖 #GossApeGirl #GGFW https://t.co/hL4j198BIC","4","28","81","1648424704000","27 Mar 2022","gossapegirl/status/1508228642727673857","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query","GossApeGirl | GGFW"
"@yumyxy","✈️Apollo🎀","Happy to be a finalist in C-01's DCL Metaverse Fashion Week Contest, please vote for “No. 1"" in the poll on C-01's Discord announcement! C-01のDecentralandメタバースファッションウィークコンテスト最終選考に残りました！C-01のDiscordのアナウンスメントで「No.1」に投票お願いします🙏 https://t.co/DjghouISpg https://t.co/mdBOOZBPso","2","0","4","1649195935000","05 Apr 2022","yumyxy/status/1511463421161615363","https://twitter.com/search?lang=en&q=metaverse%20fashion%20week%20until%3A2022-04-27%20since%3A2022-02-23&src=typed_query",""
