"","participant_code","item_tweet","rating","item","tweet","source"
"442","gfs8j7lu","affective3",2,"affective","3","brands"
"443","fzyb8kza","affective3",NA,"affective","3","brands"
"444","18qwzl86","affective3",6,"affective","3","brands"
"445","wdx8mupu","affective3",NA,"affective","3","brands"
"446","gx4pzebq","affective3",5,"affective","3","brands"
"447","25quzehx","affective3",NA,"affective","3","brands"
"448","a8v3uhii","affective3",3,"affective","3","brands"
"449","p1nr4tt8","affective3",NA,"affective","3","brands"
"450","ih5pqp0z","affective3",5,"affective","3","brands"
"451","xwxx0fn3","affective3",NA,"affective","3","brands"
"452","ic4567h6","affective3",4,"affective","3","brands"
"453","60vs07wz","affective3",NA,"affective","3","brands"
"454","p5bppvqi","affective3",4,"affective","3","brands"
"455","g9w7l4zn","affective3",NA,"affective","3","brands"
"456","yahqo8w0","affective3",5,"affective","3","brands"
"457","tzsxb714","affective3",1,"affective","3","brands"
"458","rpq48z9e","affective3",NA,"affective","3","brands"
"459","1v5mg1sr","affective3",1,"affective","3","brands"
"460","opqmjbad","affective3",NA,"affective","3","brands"
"461","wtkedqqa","affective3",1,"affective","3","brands"
"462","770umb2c","affective3",NA,"affective","3","brands"
"463","o1cmcxd1","affective3",3,"affective","3","brands"
"464","ynhuka30","affective3",NA,"affective","3","brands"
"465","m92qu76p","affective3",4,"affective","3","brands"
"466","nfxr8nzu","affective3",NA,"affective","3","brands"
"467","5v5t2bfz","affective3",4,"affective","3","brands"
"468","qvechdho","affective3",NA,"affective","3","brands"
"469","lq7uarth","affective3",2,"affective","3","brands"
"470","vfte9rhd","affective3",NA,"affective","3","brands"
"471","yz0o7s93","affective3",1,"affective","3","brands"
"472","jx1hoqs5","affective4",3,"affective","4","brands"
"473","6yf74bre","affective4",NA,"affective","4","brands"
"474","ogdohkf8","affective4",4,"affective","4","brands"
"475","9was9jwj","affective4",NA,"affective","4","brands"
"476","g0v9p7we","affective4",2,"affective","4","brands"
"477","27uhtyxu","affective4",NA,"affective","4","brands"
"478","a89bdfnw","affective4",1,"affective","4","brands"
"479","gcap2hq5","affective4",1,"affective","4","brands"
"480","62sgf1q6","affective4",5,"affective","4","brands"
"481","agnsjv3u","affective4",NA,"affective","4","brands"
"482","z61pj3qh","affective4",NA,"affective","4","brands"
"483","i9lsmrra","affective4",3,"affective","4","brands"
"484","eh8427qe","affective4",NA,"affective","4","brands"
"485","hf2jc55w","affective4",5,"affective","4","brands"
"486","i6owifbh","affective4",NA,"affective","4","brands"
"487","8039ho03","affective4",2,"affective","4","brands"
"488","p8y66am4","affective4",NA,"affective","4","brands"
"489","fpejknpw","affective4",4,"affective","4","brands"
"490","crf9ios0","affective4",NA,"affective","4","brands"
"491","lrkhjbvs","affective4",3,"affective","4","brands"
"492","j80ligbl","affective4",NA,"affective","4","brands"
"493","yho59dh1","affective4",3,"affective","4","brands"
"494","n7ewy2cs","affective4",NA,"affective","4","brands"
"495","r02olzq0","affective4",5,"affective","4","brands"
"496","qq5poky6","affective4",NA,"affective","4","brands"
"497","ufnwpmau","affective4",1,"affective","4","brands"
"498","jr301tge","affective4",NA,"affective","4","brands"
"499","6vr1fp3w","affective4",4,"affective","4","brands"
"500","9i4oj2r2","affective4",NA,"affective","4","brands"
